ID,age,male,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,lovedTracks,posts,playlists,shouts,adopter,tenure,good_country
40336,22,0,11,23,1,4,0,37,2,0,0,5,1,39,0
40337,29,1,6,25.75,0.4,4,0,18862,332,3,1,24,1,36,0
40338,19,1,101,25.80263158,0.666666667,22,5,39026,1902,105,1,443,1,36,1
40339,29,1,59,24.52272727,0.270833333,19,0,17728,63,0,2,7,1,33,0
40340,25,1,48,23.70588235,0.717948718,10,2,76880,258,9,1,31,1,64,0
40341,24,1,43,25.92307692,0.692307692,24,5,50995,656,2,2,164,1,61,0
40342,22,0,10,26,0.75,2,0,4618,24,0,1,14,1,50,0
40343,22,1,3,19,0,2,0,33361,0,0,1,3,1,40,0
40344,25,1,82,19.390625,0.169014085,9,2,18818,14,0,0,4,1,7,0
40345,23,1,34,22.95238095,0.6,4,2,29226,545,1,4,15,1,33,1
40346,31,1,1,30,0,1,0,10883,118,0,1,2,1,36,0
40347,24,0,6,37.66666667,1,4,1,9528,91,1,0,4,1,26,0
40348,23,1,97,22.92753623,0.376470588,11,5,74910,302,0,1,465,1,41,0
40349,20,0,99,20.71052632,0.529411765,15,0,48434,161,110,2,6704,1,49,0
40350,24,1,15,24.72727273,0.461538462,3,0,52941,2,13,1,19,1,80,1
40351,26,1,65,26.33333333,0.551020408,11,5,47783,320,18,1,63,1,72,0
40352,26,1,14,26.85714286,0.625,4,0,15741,512,0,1,13,1,51,0
40353,23,1,17,24.33333333,0.5625,3,0,19230,122,0,0,19,1,26,0
40354,32,1,30,30.83333333,0.888888889,7,3,7219,363,1,1,12,1,48,0
40355,24,0,23,24.88888889,0.857142857,9,1,11743,0,0,0,13,1,34,0
40356,22,0,21,22.875,0.941176471,6,0,70800,314,0,4,13,1,39,1
40357,21,1,13,20.5,0.916666667,4,1,28431,53,0,1,16,1,46,0
40358,24,1,153,26.87850467,0.649635037,33,8,150061,457,0,1,38,1,47,0
40359,21,0,89,22.61428571,0.64556962,27,3,35258,611,0,0,75,1,25,0
40360,25,1,2,26,1,1,0,3428,0,0,1,1,1,46,0
40361,25,0,5,29.5,0.75,3,1,5849,91,0,1,3,1,42,0
40362,20,0,54,20.52631579,0.416666667,14,1,28211,430,0,1,58,1,25,0
40363,32,1,12,23.8,0.2,5,2,29186,452,0,1,2,1,31,1
40364,24,0,1,21,1,1,0,1243,28,0,0,3,1,11,1
40365,30,1,6,24.33333333,0.833333333,2,0,7266,134,3,1,0,1,39,0
40366,20,1,13,23.45454546,1,7,0,28410,33,0,0,4,1,66,0
40367,23,1,6,28,0.75,2,0,12571,355,0,1,2,1,53,0
40368,31,1,11,28.625,0.777777778,6,1,59198,58,4,1,2,1,54,0
40369,17,0,115,17.75903615,0.16,16,4,23617,160,18,0,2075,1,30,0
40370,28,1,3,24.5,0.333333333,1,0,8844,11,0,1,0,1,53,0
40371,22,1,46,22.44117647,0.564102564,7,0,60084,98,0,0,5,1,52,0
40372,29,0,7,29.75,1,3,1,7798,21,0,1,3,1,49,0
40373,25,1,22,29.92307692,0.823529412,6,0,94549,19,6,1,4,1,82,0
40374,20,1,57,21.3125,0.666666667,8,3,54867,209,4,0,31,1,44,1
40375,26,0,25,25.78947368,0.5,5,4,21099,178,0,2,12,1,41,0
40376,27,1,34,25.48,0.454545455,15,2,34602,501,0,1,15,1,40,0
40377,34,1,1,36,1,1,1,6979,22,0,0,0,1,67,0
40378,18,1,1,19,1,1,0,4663,16,0,0,1,1,9,0
40379,31,0,87,27.15384615,0.714285714,18,6,27067,1625,8,1,54,1,70,1
40380,23,1,12,25,0.555555556,3,0,7914,110,0,1,9,1,77,0
40381,22,1,29,22.31818182,0.608695652,11,2,14247,75,0,0,2,1,45,0
40382,23,1,139,21.37383178,0.701612903,25,5,19109,281,9,0,803,1,37,0
40383,25,1,20,24.53333333,0.294117647,5,0,19933,0,0,0,7,1,40,0
40384,19,1,10,20.11111111,0.4,3,0,38193,0,0,0,9,1,7,0
40385,33,1,6,27.5,0,5,0,11681,13,0,0,0,1,64,0
40386,28,1,28,26.58333333,0.5,4,1,49154,45,10,1,0,1,62,0
40387,23,0,46,28.05714286,0.690476191,7,5,15031,126,0,0,15,1,65,1
40388,22,0,30,25.08695652,0.708333333,3,4,40329,230,0,0,9,1,48,0
40389,21,1,23,22.2,0.7,1,1,52182,984,106,0,2,1,29,0
40390,22,1,30,23.36363636,0.555555556,4,1,3405,0,0,1,2,1,57,0
40391,20,1,83,20.1884058,0.701298701,16,0,19509,58,26,1,460,1,39,0
40392,19,1,15,20,0.769230769,2,2,51678,0,1,0,3,1,43,0
40393,53,1,1,35,0,0,0,1714,398,1,1,2,1,37,0
40394,31,1,36,24.30769231,0.379310345,7,0,47092,137,0,1,65,1,48,0
40395,25,0,19,25.875,0.705882353,10,1,1544,291,0,1,6,1,23,0
40396,22,0,135,24.11538462,0.626086957,23,5,237301,585,7,0,795,1,64,0
40397,25,1,22,23.68421053,0.380952381,9,0,16298,38,0,3,5,1,70,0
40398,29,1,3,29,0.5,1,0,11286,55,0,1,2,1,54,1
40399,18,1,6,19.75,0.666666667,1,0,12091,93,0,0,0,1,22,0
40400,23,1,143,23.47457627,0.552,11,2,31193,190,0,1,119,1,54,0
40401,24,1,1,19,1,1,0,16,17,0,0,1,1,14,0
40402,27,1,5,25.25,0.5,3,1,3937,57,0,0,2,1,34,0
40403,28,0,112,23.4494382,0.669902913,16,1,42576,23,135,1,779,1,55,0
40404,23,1,39,21.91666667,0.625,8,0,24646,233,1,0,45,1,55,0
40405,29,1,24,24.63636364,0.388888889,10,2,118929,238,0,0,21,1,78,0
40406,22,1,62,22.625,0.264150943,11,5,88426,1002,66,1,19,1,52,0
40407,21,1,9,19.5,0.777777778,1,0,5771,8,0,0,5,1,16,0
40408,20,1,7,20.4,0.4,3,0,39852,94,0,0,4,1,22,0
40409,19,0,47,30.26470588,0.822222222,19,5,21741,44,0,1,25,1,44,0
40410,30,1,36,26.0952381,0.392857143,9,1,61362,122,0,1,67,1,58,0
40411,29,1,1,29,1,1,1,9182,1,0,1,0,1,85,1
40412,26,1,14,23.28571429,0.666666667,6,0,45128,619,137,2,52,1,52,0
40413,20,1,1,29,1,1,1,17,0,0,0,1,1,21,0
40414,28,1,33,23.25925926,0.161290323,10,4,12306,177,0,0,7,1,34,0
40415,16,1,15,18,0.428571429,6,0,33389,364,3,1,70,1,17,1
40416,10,1,9,24.33333333,1,5,1,2103,148,0,1,4,1,39,0
40417,28,1,74,22.38888889,0.666666667,14,0,83672,1523,5,2,217,1,59,0
40418,21,0,187,22.47857143,0.467836257,39,2,73690,148,9,0,561,1,55,0
40419,26,0,21,23.75,0.473684211,6,1,13840,908,9,0,33,1,52,1
40420,36,1,2,29,0.5,2,0,7521,587,0,1,23,1,45,0
40421,24,1,50,22.61702128,0.133333333,6,0,75651,45,8,1,0,1,73,1
40422,18,1,16,18.0625,0.6,1,1,62302,66,0,0,132,1,42,0
40423,20,0,1,20,0,1,0,20535,567,0,1,1,1,13,0
40424,20,0,102,21.47727273,0.717391304,5,1,16374,17,5,1,213,1,49,0
40425,22,1,6,21,0.75,1,0,26433,65,0,0,15,1,40,0
40426,36,1,8,25.5,0.666666667,4,0,55788,1029,0,1,1,1,37,0
40427,23,1,44,25.22580645,0.8,8,2,204805,393,48,0,129,1,90,1
40428,34,1,6,42,0.5,3,0,10824,212,0,1,3,1,40,0
40429,26,1,48,29.26666667,0.9375,12,0,346298,56,1,0,11,1,86,1
40430,27,0,7,27,0.5,3,0,4523,73,0,1,1,1,53,0
40431,20,0,87,22.44736842,0.573170732,17,5,30689,84,0,1,84,1,54,0
40432,26,1,18,24.57142857,0.470588235,8,1,19751,60,3,1,17,1,53,0
40433,73,1,2,21,1,2,0,617,26,0,1,1,1,64,0
40434,24,1,143,23.17117117,0.300813008,16,4,85375,392,2,0,90,1,43,0
40435,27,0,33,25.40909091,0.785714286,3,4,40177,43,13,1,1712,1,59,0
40436,24,0,35,21.74193548,0.264705882,3,1,197586,112,0,0,23,1,69,1
40437,33,1,35,29.55172414,0.8,12,2,73849,399,1,0,102,1,64,0
40438,25,0,3,24.5,1,2,0,4238,26,2,1,4,1,42,0
40439,26,0,9,29,1,5,3,4591,43,1,0,16,1,14,0
40440,26,0,313,26.40909091,0.5078125,19,11,136026,1094,111,0,175,1,85,1
40441,26,1,14,28,0.7,5,2,3698,125,0,0,3,1,49,1
40442,20,0,96,23.82608696,0.682926829,19,3,60635,310,1,4,74,1,23,1
40443,17,0,120,19.43,0.372727273,30,6,44447,600,0,0,214,1,24,0
40444,13,0,1,36,0,1,0,2349,220,0,0,0,1,6,1
40445,19,1,3,22,0.333333333,2,0,153,8,0,1,1,1,8,0
40446,23,0,35,23.8,0.677419355,5,2,10631,42,0,0,10,1,37,0
40447,23,0,5,25.5,1,1,0,8565,129,0,1,3,1,50,0
40448,29,0,15,30.8,0.583333333,3,1,1463,83,0,1,7,1,58,0
40449,25,0,12,24.375,0.4,5,0,14631,331,0,1,17,1,50,0
40450,25,0,2,29,1,2,0,251,35,0,0,1,1,31,0
40451,30,1,182,30.25899281,0.730538922,38,20,27272,1148,11,1,93,1,56,0
40452,24,0,9,22.28571429,0.714285714,1,0,6126,30,0,13,4,1,13,0
40453,21,1,29,22.29411765,0.75,4,2,18778,102,0,1,17,1,59,0
40454,23,0,45,23.34615385,0.609756098,5,1,29185,56,64,1,200,1,75,0
40455,37,1,24,34.9375,0.434782609,12,3,38551,159,0,2,9,1,40,0
40456,24,1,5,22.5,0.333333333,2,0,2146,19,0,0,1,1,26,1
40457,20,0,104,23.03333333,0.846938776,24,2,8670,384,1,1,156,1,8,0
40458,38,1,11,28.85714286,0.4,5,1,3995,102,1,0,1,1,36,0
40459,26,1,6,22,0.5,1,0,11517,157,0,1,0,1,57,0
40460,40,1,14,33.71428571,0.9,4,1,12183,342,6,2,3,1,39,0
40461,31,1,21,31.33333333,0.8,9,0,46306,383,6,1,20,1,79,1
40462,29,0,11,33.33333333,0.875,7,2,10218,149,0,2,3,1,49,0
40463,22,1,52,22.3,0.52173913,3,0,20922,0,0,0,26,1,47,0
40464,21,1,7,21.2,0.8,1,0,12816,9,0,0,1,1,20,1
40465,19,1,4,19.5,0.75,1,0,693,5,0,0,0,1,28,1
40466,30,1,5,29,0.333333333,2,0,38175,269,0,0,3,1,39,0
40467,27,0,16,25.9,0.916666667,3,2,37555,109,1,1,9,1,57,0
40468,27,1,9,25.85714286,0.444444444,2,0,8009,66,0,0,1,1,4,0
40469,27,0,71,26.05555556,0.880597015,17,3,434,82,0,0,51,1,42,0
40470,25,0,3,19,1,1,0,11265,221,0,0,3,1,58,1
40471,21,0,44,23.3,0.567567568,12,3,7976,219,0,7,30,1,38,1
40472,27,0,8,25.4,0.875,6,1,10763,289,0,1,2,1,36,0
40473,27,0,37,23.21212121,0.333333333,16,0,18026,140,1,0,22,1,44,0
40474,30,1,7,26.6,0.666666667,1,0,81569,15,0,1,1,1,74,0
40475,30,0,29,31.58823529,0.923076923,17,3,12175,123,0,1,8,1,41,0
40476,43,1,8,38.33333333,1,3,0,82111,33,0,2,6,1,44,1
40477,20,0,26,22.27777778,0.772727273,8,1,6360,114,0,0,28,1,9,0
40478,18,0,71,20.3,0.555555556,20,0,16372,56,0,0,52,1,12,1
40479,27,1,10,24,0.444444444,1,4,2600,149,0,0,3,1,32,0
40480,20,0,470,21.50273224,0.891203704,41,1,29148,0,3,0,10,1,35,0
40481,21,0,3,21.33333333,1,2,1,31591,8,0,0,3,1,7,0
40482,23,0,24,23.52941177,0.904761905,11,1,4552,132,1,0,380,1,19,0
40483,40,1,30,29.26666667,0.681818182,4,2,14528,156,1,1,10,1,40,1
40484,23,0,92,26.95454546,0.835443038,24,9,25407,565,2,2,91,1,43,0
40485,29,0,6,27.4,0.833333333,1,1,29649,42,0,1,40,1,67,1
40486,32,1,30,26.29166667,1,14,0,35963,1,0,1,30,1,66,0
40487,23,1,81,22.4,0.485294118,17,1,121427,1819,1,1,40,1,31,0
40488,27,1,10,29.5,0.7,4,1,129556,562,0,25,3,1,55,0
40489,29,0,7,31.5,0.833333333,6,1,321,122,1,1,3,1,57,0
40490,24,1,2,24.5,0.5,1,0,993,128,0,1,3,1,27,0
40491,25,1,1,26,1,1,0,192,37,0,0,1,1,33,0
40492,24,1,9,22.66666667,0.666666667,2,0,23270,270,0,0,1,1,22,1
40493,24,1,10,24.5,1,2,1,30835,35,0,1,8,1,60,0
40494,23,1,27,23.40909091,0.913043478,3,0,40233,163,104,0,10,1,46,1
40495,23,1,4,23,1,2,0,2071,26,0,0,8,1,33,0
40496,23,0,17,22.1,0.272727273,3,1,45830,25,1,1,12,1,60,1
40497,30,1,36,29.64705882,0.583333333,16,1,41207,156,0,9,5,1,68,0
40498,27,1,20,24.54545455,0.8,8,0,50170,239,5,0,37,1,64,1
40499,26,1,1,20,1,1,0,87,23,0,0,0,1,6,0
40500,18,0,8,18.42857143,0.285714286,1,0,459,11,0,0,0,1,27,0
40501,28,0,9,29.25,1,3,0,115875,73,0,1,5,1,76,1
40502,33,0,18,29.55555556,0.538461539,4,0,32470,71,0,1,153,1,60,0
40503,45,1,28,36.21052632,0.8,9,7,312309,2,73,1,47,1,82,1
40504,25,1,6,26.25,0.5,2,0,5808,12,0,0,3,1,61,0
40505,30,0,52,34.1875,0.794871795,23,5,26224,224,0,2,64,1,52,0
40506,26,0,185,30.816,0.6875,27,13,163615,927,170,118,117,1,68,0
40507,28,1,14,24,0.181818182,4,1,11627,397,1,2,5,1,37,0
40508,27,1,35,24.64,0.655172414,4,1,22800,71,0,1,22,1,79,1
40509,27,1,1,26,0,1,0,3561,402,0,1,0,1,26,1
40510,24,0,178,22.45833333,0.56969697,31,1,40832,35,9,1,157,1,57,0
40511,15,0,40,16.84,0.081081081,14,1,5562,41,0,0,12,1,5,0
40512,42,1,24,23.77777778,0.714285714,15,2,5359,165,0,2,8,1,60,1
40513,25,1,4,20.66666667,0.333333333,1,0,8501,3,0,1,0,1,81,0
40514,24,1,117,22.68131868,0.364485981,17,0,9761,1611,1,1,121,1,28,1
40515,26,0,15,24.625,0.818181818,4,1,20332,11,0,1,6,1,56,0
40516,22,0,31,22.40740741,0.586206897,3,0,45795,57,0,0,10,1,49,0
40517,29,1,17,25.07142857,0.25,12,1,2161,25,15,1,19,1,59,0
40518,18,1,33,20.63636364,0.538461539,1,1,69383,576,1,0,21,1,59,1
40519,17,1,3,19,1,1,0,1231,155,0,0,1,1,21,0
40520,32,1,9,32.33333333,1,4,1,67533,295,1,1,2,1,41,0
40521,44,1,13,28.5,0.75,10,3,168946,5,0,0,10,1,19,1
40522,22,0,15,23.09090909,0.3,3,0,21734,174,0,1,19,1,43,1
40523,20,0,73,21.265625,0.606060606,5,2,33611,147,0,0,41,1,37,1
40524,24,1,21,24.75,0.473684211,4,1,138348,38,1,1,49,1,74,0
40525,27,1,13,26,0.583333333,4,0,8171,19,0,1,1,1,59,0
40526,30,1,82,28.01666667,0.78125,5,2,71258,8,11,0,239,1,90,0
40527,22,1,23,22.22222222,0.4,4,1,65444,179,1,0,49,1,68,0
40528,28,1,12,25.83333333,0.625,3,0,5351,80,0,0,4,1,30,0
40529,38,1,9,30,0.444444444,3,0,16734,46,0,8,0,1,50,0
40530,21,1,8,21,0.4,3,1,2100,271,0,0,5,1,45,1
40531,23,1,314,22.69402985,0.310580205,31,9,377148,473,788,1,5193,1,77,0
40532,23,1,5,30,0.666666667,2,0,11359,252,0,1,3,1,6,0
40533,32,1,14,25.88888889,0.333333333,4,0,9251,514,3,2,36,1,34,0
40534,20,0,66,21.875,0.822580645,12,0,44398,0,0,0,534,1,41,0
40535,44,1,1,46,1,1,1,20305,100,0,1,4,1,37,1
40536,21,1,58,20.45833333,0.211538462,16,2,65124,240,0,1,185,1,31,0
40537,20,1,6,31,1,1,0,2560,0,0,0,2,1,32,1
40538,19,1,56,20.55319149,0.673469388,11,3,13710,136,0,1,36,1,56,1
40539,23,0,36,23.72727273,0.727272727,8,2,40150,128,0,1,268,1,36,0
40540,27,0,5,26.33333333,1,1,0,11026,118,0,7,1,1,41,1
40541,23,1,54,23.11627907,0.638297872,14,2,51044,513,2,0,129,1,67,1
40542,27,0,32,29.69565217,0.730769231,10,2,60761,831,118,1,143,1,60,0
40543,25,1,159,22.85365854,0.503703704,14,13,99801,0,23,0,1000,1,62,0
40544,28,1,26,24.19047619,0.923076923,2,0,20265,33,0,0,11,1,39,1
40545,24,1,47,23.27272727,0.868421053,12,2,29712,281,15,1,126,1,57,0
40546,27,1,4,23,0,4,0,6501,468,2,1,8,1,55,0
40547,23,1,70,22.87719298,0.728813559,3,3,113088,130,4,1,0,1,69,0
40548,18,1,55,20.02631579,0.5,13,2,52682,1061,275,0,6858,1,16,0
40549,19,1,2,22,0,1,0,236,67,0,1,3,1,58,1
40550,26,1,1,27,1,1,0,2994,11,0,0,0,1,80,0
40551,18,1,122,21.64044944,0.773195876,29,1,39388,0,31,0,271,1,46,0
40552,22,1,2,21,1,2,0,4050,11,0,1,1,1,66,1
40553,22,1,60,19.73584906,0.396226415,14,0,21718,111,0,1,33,1,58,1
40554,26,1,8,27.8,0.666666667,3,0,45064,0,18,0,0,1,60,0
40555,30,1,102,23.13333333,0.3125,16,3,67383,277,0,1,73,1,66,1
40556,29,1,18,29.5,0.666666667,4,0,24202,295,0,7,7,1,47,1
40557,32,1,2,30,0.5,1,0,17295,78,0,6,1,1,5,0
40558,24,1,5,33.5,0.75,5,0,1391,197,0,1,6,1,72,0
40559,26,0,70,26.94444444,0.682539683,18,2,40895,279,0,0,55,1,64,0
40560,31,1,3,29.66666667,0.333333333,2,0,14936,1725,0,2,0,1,13,1
40561,26,1,13,25.63636364,0.833333333,5,2,11898,80,73,0,2,1,35,0
40562,22,1,40,22.4,0.606060606,4,1,34459,206,0,0,10,1,39,0
40563,24,1,35,23.08695652,0.741935484,5,4,65630,60,0,0,91,1,64,0
40564,24,1,16,29.66666667,0.785714286,9,2,26743,377,0,8,11,1,60,0
40565,25,1,10,23.5,0.888888889,1,0,3745,161,4,1,7,1,59,0
40566,32,1,55,30.42857143,0.487179487,7,5,51571,302,13,0,153,1,79,0
40567,22,0,2,22,1,1,0,2,0,0,1,1,1,26,0
40568,27,0,19,30.41666667,0.75,7,2,39919,156,0,0,8,1,77,1
40569,24,1,52,24.19444444,0.577777778,15,0,97476,312,2,1,59,1,73,0
40570,28,1,6,27.6,1,2,0,1894,131,0,0,1,1,28,1
40571,26,1,18,25.54545455,0.928571429,5,0,8106,32,34,1,4,1,64,0
40572,28,0,51,26.88888889,0.744186047,13,2,26131,132,8,2,55,1,21,0
40573,40,0,5,42,0.75,5,0,1188,83,0,0,18,1,34,0
40574,33,1,6,24,0.2,1,0,27942,347,0,0,1,1,29,0
40575,28,0,112,29.89873418,0.614583333,30,8,39878,669,0,1,64,1,48,0
40576,30,1,223,26.39156627,0.591623037,15,4,16270,15,4,1,71,1,71,0
40577,24,1,4,23,0.25,1,0,1094,2,0,0,2,1,36,0
40578,35,0,4,35,1,2,1,9857,9,0,1,2,1,46,0
40579,18,1,7,19.8,1,3,0,1840,28,0,0,1,1,33,0
40580,33,0,2,25,1,1,0,50,6,0,0,1,1,34,0
40581,21,1,26,23.3,0.875,7,1,22231,148,5,1,33,1,57,0
40582,38,1,74,26.4137931,0,28,1,36546,1,0,0,18,1,38,0
40583,27,0,51,27.14705882,0.744186047,13,2,28996,155,0,1,16,1,46,0
40584,29,1,30,28.04347826,0.296296296,5,0,102656,146,115,1,41,1,55,0
40585,36,1,44,32.17647059,0.55,7,3,66994,535,17,0,3,1,60,1
40586,30,1,58,26.55172414,0.463414634,8,4,61450,59,1,9,130,1,70,1
40587,18,0,28,21.78947368,0.739130435,13,4,18228,0,1,1,66,1,23,0
40588,15,0,1,17,0,1,0,1203,37,0,2,1,1,4,1
40589,25,1,2,24,1,1,0,5378,17,0,0,0,1,48,1
40590,19,1,601,20.79697624,0.591911765,59,12,100022,481,12,2,691,1,31,0
40591,22,0,332,25.1380597,0.581168831,50,6,34687,248,39,0,774,1,64,0
40592,21,1,27,21.125,0.5,3,0,89799,246,0,1,36,1,56,0
40593,20,0,7,22.14285714,0.857142857,3,0,11010,89,0,0,5,1,36,0
40594,25,0,2,30,0,1,0,2453,145,1,1,0,1,61,1
40595,24,1,97,25.38983051,0.619047619,12,6,191176,436,0,2,75,1,76,0
40596,24,1,5,25,0,4,0,1583,1,0,0,8,1,30,1
40597,22,1,12,22.88888889,0.7,5,1,18192,29,17,1,22,1,60,0
40598,24,0,8,21.83333333,0.8,1,0,4184,38,3,1,11,1,60,0
40599,18,0,42,17.64,0.078947368,16,1,7251,148,0,0,20,1,11,0
40600,37,1,3,24,1,1,0,3202,503,0,1,1,1,9,1
40601,19,1,161,20.80991736,0.478571429,27,7,55443,67,2,1,899,1,42,0
40602,23,1,31,23.13636364,0.5,5,0,94969,6,56,2,11,1,80,1
40603,20,1,10,22.625,0.333333333,8,0,2791,226,7,1,53,1,64,0
40604,29,1,17,27.25,0.466666667,2,0,28610,20,0,1,8,1,58,0
40605,26,1,36,26.48,0.785714286,11,1,47088,4,0,0,13,1,24,1
40606,36,1,1,42,1,1,0,1745,29,0,0,3,1,29,0
40607,25,1,8,25,1,7,0,49867,1,0,1,3,1,64,0
40608,41,1,15,31.28571429,0.916666667,1,0,23179,198,0,1,13,1,76,0
40609,17,1,7,17.42857143,1,3,0,21915,50,0,0,2,1,14,0
40610,27,1,4,25,0.333333333,1,0,1983,107,0,1,2,1,47,0
40611,37,1,38,33.35294118,0.772727273,8,4,15862,495,0,1,7,1,70,0
40612,30,0,20,29.23076923,0.933333333,6,0,5032,12,0,1,5,1,70,1
40613,23,1,5,24,0.666666667,1,0,7369,125,0,1,5,1,38,1
40614,24,1,6,24,0.6,2,0,2713,465,0,2,3,1,53,1
40615,25,1,82,20.85714286,0.957142857,14,4,65068,169,33,1,37,1,52,1
40616,25,1,29,24.48,0.5,9,0,25693,163,0,0,15,1,26,0
40617,28,1,11,25.2,0.454545455,2,0,7209,52,0,0,19,1,14,0
40618,24,0,108,26.20588235,0.7875,14,5,33775,168,31,0,215,1,51,1
40619,29,1,11,24.28571429,0.545454546,2,0,3051,17,0,1,5,1,37,0
40620,29,0,1,59,1,1,1,30785,38,0,1,1,1,15,0
40621,23,0,63,24.28,0.727272727,11,1,21282,230,2,0,4,1,52,0
40622,28,0,11,29.88888889,0.777777778,5,2,1853,329,0,1,4,1,37,1
40623,16,0,9,18.22222222,0.555555556,2,2,3128,117,0,0,3,1,42,0
40624,25,1,8,24.2,0.571428571,2,1,2729,0,0,1,2,1,45,0
40625,36,1,56,27.84615385,0.479166667,15,3,13145,143,0,1,5,1,61,0
40626,24,1,3,24,1,1,1,12423,15,0,0,1,1,38,0
40627,20,0,50,21.65116279,0.369565217,8,3,5259,89,1,0,33,1,12,0
40628,21,1,18,23.5,0.722222222,3,0,50570,199,0,1,14,1,73,0
40629,37,1,8,26.33333333,1,3,1,71789,127,1,1,1,1,58,0
40630,31,0,7,31,0.666666667,5,0,57478,147,0,3,6,1,31,1
40631,27,1,47,25.78571429,0.405405405,7,3,41742,126,3,1,11,1,73,1
40632,32,1,36,25.5483871,0.470588235,7,3,28121,992,23,4,28,1,90,0
40633,38,1,5,29.75,0.4,3,3,2095,0,0,0,2,1,34,1
40634,28,1,59,24.93333333,0.5,23,4,69527,492,2,1,271,1,45,0
40635,20,1,13,18.25,0.454545455,7,0,30497,788,4,1,21,1,41,1
40636,35,1,1,32,1,1,0,4905,36,0,1,1,1,40,1
40637,22,1,54,21.45454546,0.458333333,15,0,2783,65,0,0,27,1,9,0
40638,32,1,1,39,1,1,0,4334,50,0,1,1,1,33,1
40639,38,1,100,31.40322581,0.626666667,9,3,2176,1188,0,1,11,1,85,0
40640,25,1,76,25.43137255,0.689655172,11,6,135658,144,87,1,98,1,79,1
40641,24,1,28,23.47619048,0.56,3,1,41168,52,0,1,8,1,74,0
40642,27,1,60,27.97619048,0.680851064,12,2,117265,48,4,1,48,1,71,1
40643,24,0,7,26.4,1,3,0,12444,370,0,1,0,1,37,1
40644,32,0,104,31.22807018,0.870588235,31,13,44127,278,7,2,228,1,70,0
40645,26,0,11,26,0.444444444,7,1,12935,51,0,0,5,1,56,0
40646,17,1,48,22.55555556,0.7,8,5,25374,171,0,0,55,1,14,1
40647,20,1,25,25,0.523809524,8,5,21468,49,0,0,61,1,19,0
40648,29,0,9,29.5,1,5,0,726,356,0,2,11,1,9,1
40649,21,1,46,21.88571429,0.775,7,1,136347,1155,5,2,0,1,54,0
40650,37,1,5,30,0.4,3,2,9561,306,0,4,2,1,45,1
40651,31,1,22,22.29411765,0.523809524,11,0,5285,20,4,0,5,1,39,0
